sample_name	dnHIF1a	amputated
7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	dnHIF1a-expressing	post-amputation
Unamputated dnHIF1a-expressing adult zebrafish, sample 2	dnHIF1a-expressing	unamputated
Unamputated dnHIF1a-expressing adult zebrafish, sample 1	dnHIF1a-expressing	unamputated
Unamputated wildtype adult zebrafish, sample 3	wildtype	unamputated
7 days post-amputation wildtype adult zebrafish, sample 1	wildtype	post-amputation
7 days post-amputation wildtype adult zebrafish, sample 3	wildtype	post-amputation
Unamputated dnHIF1a-expressing adult zebrafish, sample 3	dnHIF1a-expressing	unamputated
7 days post-amputation wildtype adult zebrafish, sample 2	wildtype	post-amputation
Unamputated wildtype adult zebrafish, sample 1	wildtype	unamputated
7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	dnHIF1a-expressing	post-amputation
Unamputated wildtype adult zebrafish, sample 2	wildtype	unamputated
7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2	dnHIF1a-expressing	post-amputation
